,name,temperature,symbol,weatherDescription,text,windSpeed,windGust,cardinalWindDirection,windDirection,humidity,rainfall,pressure,dayName,date,reportTime
0,Athenry,1,02n,Fair,"""Fair""",7,-,W,270,89,0.0,1008,Friday,2024-11-22,00:00
1,Athenry,1,02n,Fair,"""Fair""",15,-,W,270,85,0.0,1008,Friday,2024-11-22,01:00
2,Athenry,2,05n,Rain showers,"""Moderate Rain shower""",15,-,W,270,92,0.3,1008,Friday,2024-11-22,02:00
3,Athenry,1,02n,Fair,"""Fair""",9,-,W,270,91,0.0,1008,Friday,2024-11-22,03:00
4,Athenry,1,02n,Fair,"""Fair""",9,-,W,270,91,0.0,1008,Friday,2024-11-22,04:00
5,Athenry,1,02n,Fair,"""Fair""",7,-,W,270,90,0.0,1008,Friday,2024-11-22,05:00
6,Athenry,1,02n,Fair,"""Fair""",11,-,W,270,85,0.0,1009,Friday,2024-11-22,06:00
7,Athenry,1,02n,Fair,"""Fair""",9,-,W,270,90,0.0,1009,Friday,2024-11-22,07:00
8,Athenry,2,02d,Fair,"""Fair""",11,-,W,270,87,0.0,1010,Friday,2024-11-22,08:00
9,Athenry,1,02d,Fair,"""Fair""",6,-,W,270,89,0.0,1010,Friday,2024-11-22,09:00
10,Athenry,3,46d,Light rain ,"""Recent Drizzle """,7,-,W,270,84,0.01,1010,Friday,2024-11-22,10:00
11,Athenry,3,46n,Light rain ,"""Light rain """,30,50,SE,135,92,1.6,998,Saturday,2024-11-23,00:00
12,Athenry,4,09n,Rain,"""Moderate rain """,31,56,SE,135,93,4.0,994,Saturday,2024-11-23,01:00
13,Athenry,5,46n,Light rain ,"""Light rain """,31,57,SE,135,92,2.1,989,Saturday,2024-11-23,02:00
14,Athenry,6,09n,Rain,"""Moderate rain """,30,56,SE,135,93,4.8,985,Saturday,2024-11-23,03:00
15,Athenry,10,09n,Rain,"""Moderate rain """,28,50,S,180,93,4.9,983,Saturday,2024-11-23,04:00
16,Athenry,12,09n,Rain,"""Moderate rain """,28,50,S,180,95,2.9,981,Saturday,2024-11-23,05:00
17,Athenry,12,46n,Light rain ,"""Light rain """,26,46,S,180,95,4.2,980,Saturday,2024-11-23,06:00
18,Athenry,13,09n,Rain,"""Moderate rain """,26,54,S,180,95,2.6,979,Saturday,2024-11-23,07:00
19,Athenry,13,46d,Light rain ,"""Moderate Drizzle """,28,-,SW,225,97,2.3,979,Saturday,2024-11-23,08:00
20,Athenry,13,46d,Light rain ,"""Recent Drizzle """,22,43,SW,225,95,0.3,979,Saturday,2024-11-23,09:00
21,Athenry,14,40d,Light rain showers,"""Recent Rain""",28,48,SW,225,91,0.5,980,Saturday,2024-11-23,10:00
